,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Proteobacteria_8492,Bacteria,Proteobacteria,,Betaproteobacteria,Neisseriales,Chromobacteriaceae,,,,Chromobacteriaceae
Proteobacteria_8690,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax sp. KKS102,,Acidovorax sp. KKS102
Proteobacteria_8723,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax sp. PAMC 29310,,Rhodoferax sp. PAMC 29310
Proteobacteria_8724,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,,,Rhodoferax
Proteobacteria_8771,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,,,,,Burkholderiales
Proteobacteria_9365,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia sp. Dwa41.01b,,Massilia sp. Dwa41.01b
Proteobacteria_9403,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium parvum,,Undibacterium parvum
Proteobacteria_9861,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas nitritireducens,,Stenotrophomonas nitritireducens
Spirochaetes_30,Bacteria,Spirochaetes,,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,,,Leptospira
Verrucomicrobia_16,Bacteria,Verrucomicrobia,PVC group,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,Luteolibacter ambystomatis,,Luteolibacter ambystomatis
Actinobacteria_2292,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Micrococcales,Microbacteriaceae,Herbiconiux,Herbiconiux sp. SALV-R1,,Herbiconiux sp. SALV-R1
Bacteroidetes_1000,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sp. KK2020170,,Flavobacterium sp. KK2020170
Bacteroidetes_1017,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium sangjuense,,Flavobacterium sangjuense
Bacteroidetes_1031,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium johnsoniae,Flavobacterium johnsoniae UW101,Flavobacterium johnsoniae UW101
Bacteroidetes_149,Bacteria,Bacteroidetes,FCB group,Saprospiria,Saprospirales,Saprospiraceae,Saprospira,Saprospira grandis,Saprospira grandis str. Lewin,Saprospira grandis str. Lewin
Bacteroidetes_181,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,,,Flavisolibacter
Bacteroidetes_190,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavihumibacter,,,Flavihumibacter
Bacteroidetes_196,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Chitinophaga,Chitinophaga pinensis,Chitinophaga pinensis DSM 2588,Chitinophaga pinensis DSM 2588
Bacteroidetes_216,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,,Mucilaginibacter
Bacteroidetes_217,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter sp. 14171R-50,,Mucilaginibacter sp. 14171R-50
Bacteroidetes_223,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter ginsenosidivorax,,Mucilaginibacter ginsenosidivorax
Bacteroidetes_231,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,,Mucilaginibacter
Bacteroidetes_237,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,,Mucilaginibacter
Bacteroidetes_280,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,Olivibacter sp. LS-1,,Olivibacter sp. LS-1
Bacteroidetes_282,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Olivibacter,,,Olivibacter
Bacteroidetes_289,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter heparinus,Pedobacter heparinus DSM 2366,Pedobacter heparinus DSM 2366
Bacteroidetes_292,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,Pedobacter ginsengisoli,,Pedobacter ginsengisoli
Bacteroidetes_297,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,,Pedobacter
Bacteroidetes_311,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,,Sphingobacteriaceae
Bacteroidetes_319,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Dyadobacter,Dyadobacter sp. NIV53,,Dyadobacter sp. NIV53
Bacteroidetes_330,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Spirosomaceae,Larkinella,Larkinella sp. IE-0392,,Larkinella sp. IE-0392
Bacteroidetes_338,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,Spirosoma pollinicola,,Spirosoma pollinicola
Bacteroidetes_339,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,,,Spirosoma
Bacteroidetes_354,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,,,Spirosoma
Bacteroidetes_890,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Tenuifilaceae,Tenuifilum,Tenuifilum thalassicum,,Tenuifilum thalassicum
Bacteroidetes_913,Bacteria,Bacteroidetes,FCB group,Bacteroidia,,,,,,Bacteroidia
Chloroflexi_39,Bacteria,Chloroflexi,Terrabacteria group,,,,,,,Terrabacteria group
Cyanobacteria_200,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pleurocapsales,Dermocarpellaceae,Stanieria,,,Stanieria
Cyanobacteria_29,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Pseudanabaenales,Oculatellaceae,Thermoleptolyngbya,Thermoleptolyngbya sichuanensis,Thermoleptolyngbya sichuanensis PKUAC-SCTA183,Thermoleptolyngbya sichuanensis PKUAC-SCTA183
Firmicutes_Tenericutes_1001,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Pelosinus fermentans,Pelosinus fermentans JBW45,Pelosinus fermentans JBW45
Firmicutes_Tenericutes_1032,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,,,Veillonella
Firmicutes_Tenericutes_1053,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,,,,,,Negativicutes
Firmicutes_Tenericutes_2844,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Lactobacillaceae,Bombilactobacillus,Bombilactobacillus bombi,,Bombilactobacillus bombi
Firmicutes_Tenericutes_4586,Bacteria,Firmicutes,Terrabacteria group,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Bulleidia,Bulleidia sp. zg-1006,,Bulleidia sp. zg-1006
Firmicutes_Tenericutes_510,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Hungatella,Hungatella hathewayi,Hungatella hathewayi WAL-18680,Hungatella hathewayi WAL-18680
Firmicutes_Tenericutes_531,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_581,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminiclostridium,Ruminiclostridium cellulolyticum,Ruminiclostridium cellulolyticum H10,Ruminiclostridium cellulolyticum H10
Firmicutes_Tenericutes_620,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium intestinale,,Clostridium intestinale
Firmicutes_Tenericutes_640,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,,,Clostridium
Firmicutes_Tenericutes_758,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,,,Clostridium
Firmicutes_Tenericutes_956,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Planctomycetes_4,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Planctomyces,Planctomyces sp. SH-PL14,,Planctomyces sp. SH-PL14
Planctomycetes_71,Bacteria,Planctomycetes,PVC group,Planctomycetia,,,,,,Planctomycetia
Proteobacteria_10343,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas oryzihabitans,,Pseudomonas oryzihabitans
Proteobacteria_10522,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,Pseudomonas putida H8234,Pseudomonas putida H8234
Proteobacteria_3355,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,,Pantoea ananatis
Proteobacteria_3416,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,,,Erwinia
Proteobacteria_3931,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Morganellaceae,Morganella,Morganella morganii,,Morganella morganii
Proteobacteria_4494,Bacteria,Proteobacteria,,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,Aeromonas veronii Hm21,Aeromonas veronii Hm21
Proteobacteria_4659,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,Shewanella putrefaciens,,Shewanella putrefaciens
Proteobacteria_5269,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella waltersii,,Legionella waltersii
Proteobacteria_5293,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,,,Legionella
Proteobacteria_5295,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella sp. MW5194,,Legionella sp. MW5194
Proteobacteria_5324,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,Legionella geestiana,,Legionella geestiana
Proteobacteria_5813,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Arcobacteraceae,Halarcobacter,,,Halarcobacter
Proteobacteria_5821,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Sulfurospirillum,,,Sulfurospirillum
Proteobacteria_6376,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfurellales,Desulfurellaceae,Hippea,Hippea maritima,Hippea maritima DSM 10411,Hippea maritima DSM 10411
Proteobacteria_7087,Bacteria,Proteobacteria,,Alphaproteobacteria,Hyphomicrobiales,Devosiaceae,Devosia,,,Devosia
Proteobacteria_7733,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,,,Sphingomonas
Proteobacteria_7945,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Commensalibacter,Commensalibacter sp. ESL0284,,Commensalibacter sp. ESL0284
Proteobacteria_7986,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Hypericibacter,Hypericibacter adhaerens,,Hypericibacter adhaerens
Proteobacteria_8069,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Candidatus Midichloriaceae,Candidatus Fokinia,Candidatus Fokinia solitaria,,Candidatus Fokinia solitaria
Proteobacteria_8529,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,,,,,Rhodocyclales
Proteobacteria_8531,Bacteria,Proteobacteria,,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,Azospira oryzae,Azospira oryzae PS,Azospira oryzae PS
Proteobacteria_8682,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax citrulli,,Acidovorax citrulli
Proteobacteria_8753,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga sp. PBL-H3,,Hydrogenophaga sp. PBL-H3
Proteobacteria_8776,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,Hydrogenophaga pseudoflava,,Hydrogenophaga pseudoflava
Proteobacteria_8808,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,Ramlibacter tataouinensis,,Ramlibacter tataouinensis
Proteobacteria_9658,Bacteria,Proteobacteria,,Gammaproteobacteria,Acidiferrobacterales,Acidiferrobacteraceae,,,,Acidiferrobacteraceae
Proteobacteria_9709,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,Aquicella siphonis,,Aquicella siphonis
Proteobacteria_9710,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,,,Aquicella
Verrucomicrobia_26,Bacteria,Verrucomicrobia,PVC group,Opitutae,Opitutales,Opitutaceae,Oleiharenicola,Oleiharenicola sp. KSB-15,,Oleiharenicola sp. KSB-15
Actinobacteria_1704,Bacteria,Actinobacteria,Terrabacteria group,Actinomycetia,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium pseudolongum,Bifidobacterium pseudolongum PV8-2,Bifidobacterium pseudolongum PV8-2
Bacteroidetes_209,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Bacteroidetes_226,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,Mucilaginibacter gossypii,,Mucilaginibacter gossypii
Bacteroidetes_884,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Maribellus,Maribellus comscasis,,Maribellus comscasis
Bacteroidetes_885,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,Draconibacterium halophilum,,Draconibacterium halophilum
Bacteroidetes_909,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,,Alistipes
Bacteroidetes_910,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,,,,,Bacteroidales
Bacteroidetes_914,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Chloroflexi_1,Bacteria,Chloroflexi,Terrabacteria group,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,Thermomicrobium roseum,Thermomicrobium roseum DSM 5159,Thermomicrobium roseum DSM 5159
Cyanobacteria_13,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,Gloeobacteria,Gloeobacterales,Gloeobacteraceae,Anthocerotibacter,Anthocerotibacter panamensis,Anthocerotibacter panamensis C109,Anthocerotibacter panamensis C109
Firmicutes_Tenericutes_1035,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas ruminantium,Selenomonas ruminantium subsp. lactilytica TAM6421,Selenomonas ruminantium subsp. lactilytica TAM6421
Firmicutes_Tenericutes_1052,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Selenomonadaceae,,,,Selenomonadaceae
Firmicutes_Tenericutes_1058,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,Thermanaerosceptrum,Thermanaerosceptrum fracticalcis,,Thermanaerosceptrum fracticalcis
Firmicutes_Tenericutes_1065,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,Desulfosporosinus acidiphilus,Desulfosporosinus acidiphilus SJ4,Desulfosporosinus acidiphilus SJ4
Firmicutes_Tenericutes_1066,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,Desulfosporosinus,,,Desulfosporosinus
Firmicutes_Tenericutes_1084,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Peptococcaceae,,,,Peptococcaceae
Firmicutes_Tenericutes_1103,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Firmicutes_Tenericutes_1112,Bacteria,Firmicutes,Terrabacteria group,,,,,,,Terrabacteria group
Firmicutes_Tenericutes_2083,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus faecium,,Enterococcus faecium
Firmicutes_Tenericutes_416,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum,Anaerotignum propionicum DSM 1682,Anaerotignum propionicum DSM 1682
Firmicutes_Tenericutes_423,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Anaerocolumna,Anaerocolumna cellulosilytica,,Anaerocolumna cellulosilytica
Firmicutes_Tenericutes_428,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,Lachnoclostridium,Lachnoclostridium phytofermentans,Lachnoclostridium phytofermentans ISDg,Lachnoclostridium phytofermentans ISDg
Firmicutes_Tenericutes_429,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Lachnospiraceae,,,,Lachnospiraceae
Firmicutes_Tenericutes_4585,Bacteria,Firmicutes,Terrabacteria group,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,,,Erysipelothrix
Firmicutes_Tenericutes_516,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_525,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Caproicibacterium,,,Caproicibacterium
Firmicutes_Tenericutes_530,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bovis,,Ruminococcus bovis
Firmicutes_Tenericutes_533,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Ethanoligenens,Ethanoligenens harbinense,,Ethanoligenens harbinense
Firmicutes_Tenericutes_558,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,,,,Oscillospiraceae
Firmicutes_Tenericutes_572,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Oscillospiraceae,Dysosmobacter,Dysosmobacter welbionis,,Dysosmobacter welbionis
Firmicutes_Tenericutes_584,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_597,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,,,,,Eubacteriales
Firmicutes_Tenericutes_609,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Eubacteriaceae,Acetobacterium,Acetobacterium woodii,Acetobacterium woodii DSM 1030,Acetobacterium woodii DSM 1030
Firmicutes_Tenericutes_612,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Eubacteriaceae,,,,Eubacteriaceae
Firmicutes_Tenericutes_614,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Christensenellaceae,Christensenella,Christensenella sp. Marseille-P3954,,Christensenella sp. Marseille-P3954
Firmicutes_Tenericutes_738,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium scatologenes,,Clostridium scatologenes
Firmicutes_Tenericutes_830,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Clostridiaceae,,,,Clostridiaceae
Firmicutes_Tenericutes_907,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Eubacteriales,Eubacteriales Family XIII. Incertae Sedis,Mogibacterium,Mogibacterium diversum,,Mogibacterium diversum
